uid,displayName,publicId,seasonId,beforeRating,correctedRating,delta,winsAfterSwitch,lossesAfterSwitch,unknownAfterSwitch,matchesAfterSwitch,currentWinStreakAfterSwitch,maxWinStreakAfterSwitch,hasCurrentRanking,currentRankingRating,latestRankedMatchAtJst
a3CAYFpJhRUqc8dcnkZIfv7HPCh2,メロイ修道士,FLJUVD,2026-07,7426,2400,-5026,28,0,0,28,28,28,false,,2026-08-13T20:40:28+09:00
Oc7BrE0ObtWPVCmV7FKi7AWm4bx2,きちゃー,TYGP8F,2026-07,3137,2200,-937,25,1,0,26,25,25,false,,2026-08-13T15:36:12+09:00
zMJGnqSG0UNCj10F4xGB1AlXY7G3,とらっきー,H5BQAF,2026-07,5307,1600,-3707,13,1,0,14,2,11,false,,2026-08-13T12:59:50+09:00
naVg4m2mpdQ6jPsHN97YZ3xhIff2,キモちぇー,ECEDY8,2026-07,2194,1500,-694,13,3,0,16,5,6,false,,2026-08-06T15:54:09+09:00
Aae3q2IIPxYik75W0qUnFXvez1K2,ゆきぶー,2CX4XL,2026-07,2164,1400,-764,8,0,0,8,8,8,false,,2026-08-08T23:30:35+09:00
MpyJtlPTHvhL796P9gTDYqowib73,プレイヤー,Z8DEP4,2026-07,2129,1300,-829,6,0,0,6,6,6,false,,2026-08-10T16:38:44+09:00
OZpKPW9B35WbhmGZ9swOqa5DQOz2,みれみれ,98RCZH,2026-07,3505,1250,-2255,8,3,0,11,3,5,false,,2026-08-13T16:12:50+09:00
Esu1YA9KjPPQfeXzjACUTp7q2O13,IGZO-15,Q3PJ63,2026-07,3158,1250,-1908,5,0,0,5,5,5,false,,2026-08-05T12:19:38+09:00
sXSolQV3TxMvkw3WgBhGtOjNmIm1,両刀23,H3Q6GH,2026-07,3049,1250,-1799,5,0,0,5,5,5,false,,2026-08-05T08:26:59+09:00
oax5UiA2I1SULq5tvtXCObjmpYi1,トミー,QE6F9K,2026-07,3828,1200,-2628,4,0,0,4,4,4,false,,2026-08-10T14:49:16+09:00
NjmMaGgsfIPkL4n10earvFErsjm2,なーこ,PZ5PLW,2026-07,3235,1200,-2035,5,1,0,6,1,4,false,,2026-08-12T13:55:16+09:00
PuL40Fv20YbfipkjOdoiuqRa5mP2,無限ピーマン,F2YGAR,2026-07,1672,1200,-472,4,0,0,4,4,4,false,,2026-08-12T14:51:22+09:00
XML241qtN2ZkWTPsjAHSvwzF1qg1,EDr.,KRFAQB,2026-07,2646,1100,-1546,2,0,0,2,2,2,false,,2026-08-11T21:13:20+09:00
oMKfUPVxNUc2gWZECPOrQjokZTv2,んが,2AV45F,2026-07,2382,1100,-1282,2,0,0,2,2,2,false,,2026-08-12T18:33:18+09:00
MvAMcej7aCUo5MjS5soYdNHn9P43,xまん,6EHSNF,2026-07,1501,1100,-401,2,0,0,2,2,2,false,,2026-08-11T09:06:37+09:00
DQUnpFOGT9gBrZ16jSZnt0Do7cz1,俺ってば最強さ,TL4HTJ,2026-07,1233,1100,-133,2,0,0,2,2,2,false,,2026-08-07T23:13:43+09:00
iTr4UssUisghGAznhd0ujai3iAK2,No name,SU3LVT,2026-07,5127,1050,-4077,1,0,0,1,1,1,false,,2026-08-08T18:28:25+09:00
d6xbeJiAtqNjaOOCrkOkr7R8jSm2,iPhone17,ZUYZSH,2026-07,4139,1050,-3089,5,4,0,9,1,3,false,,2026-08-11T23:12:13+09:00
KweXk1QUP8Vdtpu7tBqCTbOybKp2,プレイヤー,CWQD8D,2026-07,3112,1050,-2062,1,0,0,1,1,1,false,,2026-08-13T11:32:02+09:00
pfZ5NCPeK5TzjLysyecbS1JNZC32,NO.1,QMMB2F,2026-07,2778,1050,-1728,1,0,0,1,1,1,false,,2026-08-08T19:13:00+09:00
2UwHm5Fu77M3UoIDDKmRJPgbXzo1,SHIO,VRNSFP,2026-07,1677,1050,-627,1,0,0,1,1,1,false,,2026-08-11T00:49:07+09:00
at2OZ0g9AlRXCK2BU7VFvMJMaXB3,るかす,F8ESPR,2026-07,1481,1050,-431,1,0,0,1,1,1,false,,2026-08-06T21:11:24+09:00
oFm7lc2Z23ZKOZEv9NXneFdtFJS2,エイマン,Y8F383,2026-07,1313,1050,-263,1,0,0,1,1,1,false,,2026-08-09T10:04:56+09:00
c0cFuSrM3wTrcOWiQuirEmK48pv1,本多さん余裕じゃん,472MKB,2026-07,1204,1050,-154,1,0,0,1,1,1,false,,2026-08-13T03:12:24+09:00
NPwHnGIRdOS77Y2BXvMgJv5BX2R2,おマンCスターシティ,NSC5VR,2026-07,1050,1050,0,1,0,0,1,1,1,false,,2026-08-12T15:36:22+09:00
cvRGPId4lYa7XJ60lUfC87ZUGP82,MD,MJJ4GJ,2026-07,1017,1050,33,1,0,0,1,1,1,false,,2026-08-04T20:18:45+09:00
TLvGZ5Y8ndTM5dKg1fulETX1rbh2,KID,JT3XAS,2026-07,2839,1000,-1839,0,1,0,1,0,0,false,,2026-08-06T13:27:45+09:00
